iteration,temperature_C,vibration_mmps,proximity_cm,power_W,state,motor_speed_pct,alert_level,estop,maintenance_score
0,38.11,1.16,203.4,294.2,NORMAL,100,GREEN,0,0.0
1,38.68,1.10,201.1,296.5,NORMAL,100,GREEN,0,0.0
2,39.41,0.89,192.7,302.4,NORMAL,100,GREEN,0,0.0
3,38.56,0.84,192.4,298.9,NORMAL,100,GREEN,0,0.0
4,39.34,0.79,181.3,303.9,NORMAL,100,GREEN,0,0.0
5,38.64,0.59,192.6,302.7,NORMAL,100,GREEN,0,0.0
6,38.45,0.45,192.5,307.2,NORMAL,100,GREEN,0,0.0
7,37.75,0.38,202.1,309.2,NORMAL,100,GREEN,0,0.0
8,37.23,0.40,206.5,303.6,NORMAL,100,GREEN,0,0.0
9,37.97,0.22,211.9,307.4,NORMAL,100,GREEN,0,0.0
10,37.25,0.38,219.1,303.0,NORMAL,100,GREEN,0,0.0
11,36.80,0.29,215.3,299.1,NORMAL,100,GREEN,0,0.0
12,37.15,0.24,205.6,302.8,NORMAL,100,GREEN,0,0.0
13,36.99,0.10,198.6,306.5,NORMAL,100,GREEN,0,0.0
14,36.54,0.19,203.1,304.8,NORMAL,100,GREEN,0,0.0
15,35.72,0.23,191.7,301.9,NORMAL,100,GREEN,0,0.0
16,35.05,0.32,186.7,296.3,NORMAL,100,GREEN,0,0.0
17,35.59,0.11,195.0,301.1,NORMAL,100,GREEN,0,0.0
18,36.29,0.17,183.9,296.8,NORMAL,100,GREEN,0,0.0
19,37.08,0.12,179.5,298.4,NORMAL,100,GREEN,0,0.0
20,37.54,0.10,178.0,294.4,NORMAL,100,GREEN,0,0.0
21,37.50,0.17,189.4,297.1,NORMAL,100,GREEN,0,0.0
22,37.24,0.24,179.5,295.9,NORMAL,100,GREEN,0,0.0
23,36.77,0.10,183.3,294.3,NORMAL,100,GREEN,0,0.0
24,37.36,0.30,180.9,295.8,NORMAL,100,GREEN,0,0.0
25,38.20,0.19,181.6,300.2,NORMAL,100,GREEN,0,0.0
26,38.91,0.21,193.5,304.1,NORMAL,100,GREEN,0,0.0
27,39.70,0.13,192.6,306.4,NORMAL,100,GREEN,0,0.0
28,40.10,0.31,201.3,302.9,NORMAL,100,GREEN,0,0.0
29,40.20,0.46,211.6,307.8,NORMAL,100,GREEN,0,0.0
30,40.18,0.24,207.0,310.5,NORMAL,100,GREEN,0,0.0
31,39.52,0.45,197.4,316.1,NORMAL,100,GREEN,0,0.0
32,40.28,0.45,199.4,320.8,NORMAL,100,GREEN,0,0.0
33,40.72,0.28,205.5,322.4,NORMAL,100,GREEN,0,0.0
34,41.03,0.39,204.7,323.7,NORMAL,100,GREEN,0,0.0
35,40.25,0.58,200.0,327.2,NORMAL,100,GREEN,0,0.0
36,40.85,0.43,211.8,325.8,NORMAL,100,GREEN,0,0.0
37,41.74,0.62,206.8,325.7,NORMAL,100,GREEN,0,0.0
